Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
main,starbucks,PinEntryMachine,setStateTwoPinDigits,Magic Number,The method contains a magic number: 2,130
main,starbucks,PinEntryMachine,setStateThreePinDigits,Magic Number,The method contains a magic number: 3,150
main,starbucks,PinEntryMachine,setStateFourPinDigits,Magic Number,The method contains a magic number: 4,169
main,starbucks,PinEntryMachine,setStateFourPinDigits,Magic Number,The method contains a magic number: 4,169
main,starbucks,PinEntryMachine,setStateFivePinDigits,Magic Number,The method contains a magic number: 5,207
main,starbucks,PinEntryMachine,setStateSixPinDigits,Magic Number,The method contains a magic number: 6,226
main,starbucks,StarbucksAPI,activateCard,Long Statement,The length of the statement "HttpResponse<JsonNode> response=Unirest.post(apiurl + "/card/activate/" + num+ "/"+ code).header("apikey"`apikey).asJson();" is 123.,124
main,starbucks,StarbucksAPI,activateCard,Magic Number,The method contains a magic number: 200,124
main,starbucks,StarbucksAPI,newOrder,Long Statement,The length of the statement "HttpResponse<JsonNode> response=Unirest.post(apiurl + "/order/register/" + regid).header("apikey"`apikey).body(payload).asJson();" is 129.,142
main,starbucks,StarbucksAPI,getOrder,Empty catch clause,The method has an empty catch block.,179
main,starbucks,StarbucksAPI,clearOrder,Empty catch clause,The method has an empty catch block.,192
main,starbucks,StarbucksAPI,payForOrder,Long Statement,The length of the statement "HttpResponse<JsonNode> response=Unirest.post(apiurl + "/order/register/" + regid+ "/pay/"+ cardnum).header("apikey"`apikey).asJson();" is 133.,206
main,starbucks,StarbucksAPI,clearOrders,Empty catch clause,The method has an empty catch block.,252
main,starbucks,StarbucksAPI,clearCards,Empty catch clause,The method has an empty catch block.,266
main,starbucks,KeyPad,touch,Complex Conditional,The conditional expression x >= 1 && x <= 3 && y >= 5 && y <= 8 is complex.,29
main,starbucks,KeyPad,touch,Complex Conditional,The conditional expression y < 8 || (x == 2 && y == 8) is complex.,29
main,starbucks,KeyPad,touch,Magic Number,The method contains a magic number: 3,29
main,starbucks,KeyPad,touch,Magic Number,The method contains a magic number: 5,29
main,starbucks,KeyPad,touch,Magic Number,The method contains a magic number: 8,29
main,starbucks,KeyPad,touch,Magic Number,The method contains a magic number: 3,29
main,starbucks,KeyPad,touch,Magic Number,The method contains a magic number: 8,29
main,starbucks,KeyPad,touch,Magic Number,The method contains a magic number: 8,29
main,starbucks,KeyPad,touch,Magic Number,The method contains a magic number: 2,29
main,starbucks,KeyPad,touch,Magic Number,The method contains a magic number: 8,29
main,starbucks,KeyPad,getKey,Magic Number,The method contains a magic number: 4,67
main,starbucks,KeyPad,getKey,Magic Number,The method contains a magic number: 3,67
main,starbucks,KeyPad,getKey,Magic Number,The method contains a magic number: 4,67
main,starbucks,KeyPad,getKey,Magic Number,The method contains a magic number: 2,67
main,starbucks,KeyPad,getKey,Magic Number,The method contains a magic number: 4,67
main,starbucks,KeyPad,getKey,Magic Number,The method contains a magic number: 4,67
main,starbucks,KeyPad,getKey,Magic Number,The method contains a magic number: 3,67
main,starbucks,Frame,Frame,Long Method,The method has 110 lines of code.,64
main,starbucks,AddCard,touch,Complex Conditional,The conditional expression (x == 1 && y == 2) || (x == 2 && y == 2) || (x == 3 && y == 2) is complex.,21
main,starbucks,AddCard,touch,Magic Number,The method contains a magic number: 2,21
main,starbucks,AddCard,touch,Magic Number,The method contains a magic number: 3,21
main,starbucks,AddCard,touch,Magic Number,The method contains a magic number: 2,21
main,starbucks,AddCard,touch,Magic Number,The method contains a magic number: 2,21
