Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
main,starbucks,IApp,0,0,10,0,50,10,2,0,-1.0,2,0,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/IApp.java,5
main,starbucks,ICardFocus,0,0,4,0,22,4,2,0,-1.0,1,0,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/ICardFocus.java,5
main,starbucks,PinEntryMachine,18,0,24,23,273,37,0,1,0.0,1,10,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/PinEntryMachine.java,5
main,starbucks,SixPinDigits,1,0,5,5,39,5,0,1,0.6,1,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/SixPinDigits.java,5
main,starbucks,StarbucksAPI,6,3,15,15,195,19,0,0,0.0,2,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/StarbucksAPI.java,25
main,starbucks,Card,3,3,2,2,12,2,0,0,0.0,5,0,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/StarbucksAPI.java,87
main,starbucks,IOrientationStrategy,0,0,7,0,36,7,0,0,-1.0,1,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/IOrientationStrategy.java,5
main,starbucks,KeyPad,4,0,11,10,111,21,0,1,0.2727272727272727,2,3,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/KeyPad.java,7
main,starbucks,IPinAuthSubject,0,0,3,0,19,3,1,0,-1.0,0,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/IPinAuthSubject.java,5
main,starbucks,IPinState,0,0,4,0,22,4,7,0,-1.0,1,0,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/IPinState.java,5
main,starbucks,Frame,9,0,32,32,280,46,0,1,0.3125,1,5,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/Frame.java,5
main,starbucks,IFrame,0,0,17,0,81,17,1,0,-1.0,1,2,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/IFrame.java,5
main,starbucks,IPinAuthObserver,0,0,2,0,13,2,1,0,-1.0,2,0,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/IPinAuthObserver.java,5
main,starbucks,AddCard,3,0,5,5,75,9,0,2,0.0,1,3,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/AddCard.java,5
main,starbucks,FivePinDigits,1,0,5,5,40,5,0,1,0.4,1,1,/Users/pnguyen/Desktop/GIT/academic/cmpe202-starbucks/starbucks/src/main/java/starbucks/FivePinDigits.java,5
