Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
main,starbucks,IApp,landscape,0,1,0,11
main,starbucks,IApp,portrait,0,1,0,16
main,starbucks,IApp,touch,0,1,2,21
main,starbucks,IApp,display,0,1,0,28
main,starbucks,IApp,execute,0,1,1,33
main,starbucks,IApp,prev,0,1,0,39
main,starbucks,IApp,next,0,1,0,44
main,starbucks,IApp,screen,0,1,0,49
main,starbucks,IApp,screenContents,0,1,0,55
main,starbucks,IApp,supportsLandscape,0,1,0,62
main,starbucks,ICardFocus,setFocus,0,1,0,10
main,starbucks,ICardFocus,unsetFocus,0,1,0,13
main,starbucks,ICardFocus,reset,0,1,0,16
main,starbucks,ICardFocus,display,0,1,0,19
main,starbucks,PinEntryMachine,getCurrentState,3,1,0,12
main,starbucks,PinEntryMachine,d1,3,1,0,40
main,starbucks,PinEntryMachine,d2,3,1,0,41
main,starbucks,PinEntryMachine,d3,3,1,0,42
main,starbucks,PinEntryMachine,d4,3,1,0,43
main,starbucks,PinEntryMachine,d5,3,1,0,44
main,starbucks,PinEntryMachine,d6,3,1,0,45
main,starbucks,PinEntryMachine,PinEntryMachine,16,1,0,47
main,starbucks,PinEntryMachine,backspace,3,1,0,71
main,starbucks,PinEntryMachine,number,3,1,1,76
main,starbucks,PinEntryMachine,validPin,3,1,0,84
main,starbucks,PinEntryMachine,invalidPin,3,1,0,89
main,starbucks,PinEntryMachine,setStateNoPinDigits,12,1,0,94
main,starbucks,PinEntryMachine,setStateOnePinDigit,14,2,1,109
main,starbucks,PinEntryMachine,setStateTwoPinDigits,13,2,1,130
main,starbucks,PinEntryMachine,setStateThreePinDigits,12,2,1,150
main,starbucks,PinEntryMachine,setStateFourPinDigits,30,4,1,169
main,starbucks,PinEntryMachine,setStateFivePinDigits,10,2,1,207
main,starbucks,PinEntryMachine,setStateSixPinDigits,22,3,1,226
main,starbucks,PinEntryMachine,keyEventUpdate,6,3,2,259
main,starbucks,PinEntryMachine,registerObserver,3,1,1,275
main,starbucks,PinEntryMachine,removeObserver,3,1,1,284
main,starbucks,PinEntryMachine,notifyObserver,6,3,0,293
main,starbucks,PinEntryMachine,debug,9,1,0,306
main,starbucks,SixPinDigits,SixPinDigits,3,1,1,11
main,starbucks,SixPinDigits,backspace,3,1,0,20
main,starbucks,SixPinDigits,number,4,1,1,27
main,starbucks,SixPinDigits,validPin,3,1,0,36
main,starbucks,SixPinDigits,invalidPin,3,1,0,43
main,starbucks,StarbucksAPI,StarbucksAPI,6,1,0,31
main,starbucks,StarbucksAPI,ping,9,1,0,38
main,starbucks,StarbucksAPI,newCard,20,2,0,51
main,starbucks,StarbucksAPI,getCards,9,1,0,74
main,starbucks,StarbucksAPI,getFormatedBalance,4,1,0,91
main,starbucks,StarbucksAPI,toString,3,1,0,95
main,starbucks,StarbucksAPI,getCard,20,2,1,100
main,starbucks,StarbucksAPI,activateCard,14,2,2,124
main,starbucks,StarbucksAPI,newOrder,18,1,1,142
main,starbucks,StarbucksAPI,getOrder,12,1,1,179
main,starbucks,StarbucksAPI,clearOrder,12,1,1,192
main,starbucks,StarbucksAPI,payForOrder,25,2,2,206
main,starbucks,StarbucksAPI,getOrders,9,1,0,239
main,starbucks,StarbucksAPI,clearOrders,12,1,0,252
main,starbucks,StarbucksAPI,clearCards,12,1,0,266
main,starbucks,Card,getFormatedBalance,4,1,0,91
main,starbucks,Card,toString,3,1,0,95
main,starbucks,IOrientationStrategy,display,0,1,1,8
main,starbucks,IOrientationStrategy,contents,0,1,1,14
main,starbucks,IOrientationStrategy,selectA,0,1,0,21
main,starbucks,IOrientationStrategy,selectB,0,1,0,24
main,starbucks,IOrientationStrategy,selectC,0,1,0,27
main,starbucks,IOrientationStrategy,selectD,0,1,0,30
main,starbucks,IOrientationStrategy,selectE,0,1,0,33
main,starbucks,KeyPad,KeyPad,3,1,0,15
main,starbucks,KeyPad,reset,3,1,0,20
main,starbucks,KeyPad,touch,17,6,2,29
main,starbucks,KeyPad,lastKey,4,1,0,58
main,starbucks,KeyPad,getKey,9,4,2,67
main,starbucks,KeyPad,setNext,3,1,1,105
main,starbucks,KeyPad,display,7,1,0,113
